0.0.1,0.0.2,0.0.3,0.0.5,0.8.0,1.0.0,10.0.0,11.0.0,12.0.0,13.0.0,14.0.0,15.0.0,16.0.0,17.0.0,18.0.0,2.0.0,3.0.0,4.0.0,5.0.0,6.0.0,7.0.0,8.0.0,9.0.0,abstract,accessRequestCost,accessRequestDuration,accessRights,ageBand,aliases,author,citations,conformsTo,contactPoint,controlledVocabulary,creator,dataClassesCount,dataController,dataElementsCount,dataProcessor,dataType,datasetEndDate,datasetStartDate,derivedDatasets,description,doi,domainType,editable,fileSize,finalised,format,geographicCoverage,group,id,identifier,issued,jurisdiction,keywords,label,language,lastUpdated,latest,license,linkedDataset,maxMultiplicity,minMultiplicity,modified,name,organisation,periodicity,physicalSampleAvailability,pid,populationType,publisher,releaseDate,statisticalPopulation,title,type,url,version
31e42cb6-b5d1-49ad-b831-c8ac4393fb72,,,,,f5b35869-1546-4d63-bede-d21607b2dc3d,,,,,,,,,,0092dc60-a0af-4d45-801c-b888210d6609,,,,,,,,"The NJR datasets collect continuous, prospective data on patients undergoing primary and revision total joint replacement (hip, knee, shoulder, elbow and ankle). The dataset covers the period 2003 to present and geographical coverage is England, Wales...",,,http://www.njrcentre.org.uk/njrcentre/Research/Research-requests,,,,,,njrresearch@hqip.org.uk,,,0,,,,,,,,"The NJR datasets collect continuous, prospective data on patients undergoing primary and revision total joint replacement (Hip, knee, shoulder, elbow and ankle). The dataset covers the period 2003 to present and geographical coverage is England, Wales, Northern Ireland (from 2013) and Isle of Man (from 2015). datasets include patient demography, surgical and anaesthetic technique, detailed information on the surgical prostheses used. Outcomes available include revision surgery, mortality and PROMS (shoulder surgery). Linkage to HES and national PROMS is available.",,DataModel,False,,True,,,NJR,0092dc60-a0af-4d45-801c-b888210d6609,NJR - Primary Elbow Replacement dataset,2020-01-13T14:55:22Z,GB-GBN,"NJR, Elbow, Replacement, Joint",National Joint Registry - Primary Elbow Replacement dataset,en,,0092dc60-a0af-4d45-801c-b888210d6609,,,,,2020-04-27T09:25:35Z,,,,,b06415af-9151-4ccc-83a1-ab859943fb2b,,ALLIANCE > HQIP,,,National Joint Registry - Primary Elbow Replacement dataset,Data Asset,https://raw.githubusercontent.com/HDRUK/schemata/master/schema/dataset/1.1.7/dataset.schema.json,2.0.0
292812aa-8254-4afa-9242-858e73a548cd,,,,,dde07739-b848-4a6f-8d5e-69a120331b8a,,,,,,,,,,7c1fa7b2-2b76-4952-884e-8ef6f845c488,0121c132-5be6-414e-853b-885ff301854f,,,,,,,Collection of samples and data across the following diseases: Hematologic neoplasm (disorder).,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,Please contact the publisher using Contact Point details provided.,Not Known,,,Not Available,,sw227@leicester.ac.uk,,In Progress,0,University of Leicester,,Not Applicable,,,2017-01-01,Not Available,"An Observational Study of Peripheral T cell Lymphoma: Establishment of a Biobank and Database.
The outcome of this study will be a biobank of PTCL cases with linked clinical data and serum, saliva and plasma samples to enable assessments of treatment response and prediction of relapse.",Not Available,DataModel,False,In Progress,True,In Progress,England,UKCRC Tissue Directory and Coordination Centre,0121c132-5be6-414e-853b-885ff301854f,GBR-1-105,2020-01-13T17:16:37Z,GB-ENG,"PTCL,Hematologic neoplasm (disorder),UKCRC Tissue Directory,Biobank",PTCL Biobank,en,,0121c132-5be6-414e-853b-885ff301854f,Please contact the publisher using Contact Point details provided.,Not Available,,,2021-02-21T16:11:12Z,,,IN PROGRESS,"SALIVA,TISSUE,WHOLE BLOOD",19fa25a7-c15d-441c-b635-ad49043e7a96,Biobank samples and data,ALLIANCE > TISSUE DIRECTORY,,,PTCL Biobank,Data Asset,https://raw.githubusercontent.com/HDRUK/schemata/master/schema/dataset/1.1.7/dataset.schema.json,3.0.0
8c07035d-b072-48a5-921f-6fb14096703b,,,,,275d26b4-c0bd-47dc-b4fc-19440b94ea9c,,,,,,,,,,355de4ca-1ce9-4ba4-8e07-2d51bb82bfbf,01470238-7a17-47a5-a131-17178ba26a0a,,,,,,,Collection of samples and data across the following diseases: Entire embryo (body structure),Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,Please contact the publisher using Contact Point details provided,0-4,,,Not Available,,hdbr@ncl.ac.uk,,In Progress,0,Newcastle University,,Not Applicable,,,1999-01-01,Not Available,"The Human Developmental Biology Resource (HDBR) is an ongoing collection of human embryonic and fatal material ranging from 3 to 20 weeks of development. Material is available to researchers internationally following registration with the tissue bank.  Jointly funded by the MRC and Wellcome Trust, the biobank has been operating since 1999 and is based at two centres: Institute of Genetic Medicine '“ Newcastle University and the Institute of Child Health '“ University College London.
Tissues can be dissected to meet specific research needs and samples supplied fixed or frozen for histology or nucleic acid extraction, or the tissue can be collected into culture media to be used to establish cell lines. Material pre-sectioned to microscope slides is available for immunohistochemistry (IHC) or tissue in situ hybridisation studies (TISH) and stage, tissue specific RNA/DNA/cDNA can be requested.
Our In House Gene Expression Service will perform IHC or TISH experiments on behalf of registered users and provide them with high quality annotated images of results ready for publication.",Not Available,DataModel,False,In Progress,True,In Progress,England,UKCRC Tissue Directory and Coordination Centre,01470238-7a17-47a5-a131-17178ba26a0a,GBR-1-4,2020-01-13T17:05:21Z,GB-ENG,"HDBR,UKCRC Tissue Directory,Biology,Developmental,Human,Entire embryo (body structure)",Human Developmental Biology Resource (HDBR),en,,01470238-7a17-47a5-a131-17178ba26a0a,Please contact the publisher using Contact Point details provided,Not Available,,,2021-02-21T15:59:46Z,,,IN PROGRESS,"CDNA/MRNA,TISSUE",399a6d67-7577-4476-a3b6-4bbceb5a8ff7,Biobank samples and data,ALLIANCE > TISSUE DIRECTORY,,,Human Developmental Biology Resource (HDBR),Data Asset,https://raw.githubusercontent.com/HDRUK/schemata/master/schema/dataset/1.1.7/dataset.schema.json,3.0.0
0f2acd6c-a774-46ec-9e73-bccc997073c5,,,,,e6b66a6f-3f4a-4f88-9fdf-639220251693,,,,,,,,,,0150353c-d33d-4af0-b177-8ef0adf867f4,,,,,,,,"Informed by a review of existing protocols used in Low and Middle-Income Countries to identify Chronic Respiratory Diseases, we will undertake a pilot survey to explore feasibility of using screening process in Bangladesh, India, Malaysia and Pakistan.",,,Access is managed on a project-by-project basis. Contact the RESPIRE team: https://www.ed.ac.uk/usher/respire/about/projects,,,,,LOCAL,RESPIRE@ed.ac.uk,LOCAL,RESPIRE Collaboration,0,RESPIRE,,RESPIRE,,2020-05-31,2018-09-01,,"Informed by a scoping review of existing questionnaires and protocols used in Low- and Middle-Income Countries (LMICs) to identify Chronic Respiratory Diseasess, we will undertake a pilot survey to explore feasibility of using screening process in four countries (Bangladesh, India, Malaysia, and Pakistan). Our pilot findings will inform a future fully powered survey to determine the prevalence of asthma, COPD and other CRD in the community, using robust random sampling strategies, and quality assured spirometry undertaken by field workers.

For further details, see: https://www.ed.ac.uk/usher/respire/chronic-respiratory-disorders/estimating-chronic-respiratory-disease-burden",,DataModel,False,Estimate 2-50GB,True,,Malaysia,BREATHE,0150353c-d33d-4af0-b177-8ef0adf867f4,UM_MCPA_006,2020-09-22T09:48:54Z,MY,"middle-income,Asia,COPD,asthma,Malaysia,RESPIRE,BREATHE,low-income",Estimating Chronic Respiratory Disease burden in adults in Asian LMICs,,,0150353c-d33d-4af0-b177-8ef0adf867f4,The dataset will be deposited at the University of Edinburgh DataShare and/or Data Vault repositories.,,,,2020-10-23T14:07:42Z,,,,NOT AVAILABLE,56130df6-1880-4600-a7a4-afa9a4bcc895,Adults,HUB > BREATHE,,,Estimating Chronic Respiratory Disease burden in adults in Asian LMICs,Data Asset,https://raw.githubusercontent.com/HDRUK/schemata/master/schema/dataset/1.1.7/dataset.schema.json,2.0.0
b63ca8b7-f763-4185-82e1-9ebbdd12eb98,,,,,79ccc583-45d9-4054-927c-9e6e3b3212c5,,,,,,,,,,0217114b-6847-4aae-9d76-4d52acea2bcc,,,,,,,,"PICANet records treatment details of all critically ill children in paediatric intensive care units (PICUs). This dataset includes admission details, medical history, blood tests, diagnoses and procedures, interventions, discharge and 30 day survival.",,,"https://www.hqip.org.uk/national-programmes/accessing-ncapop-data
https://www.picanet.org.uk/data-collection/data-requests/",,,,,,DataSharing@hqip.org.uk,,,0,,,,,,,,"Paediatric Intensive Care Audit Network (PICANet) is an audit database recording details of the treatment of all critically ill children in paediatric intensive care units (PICUs).  The admission dataset includes admission details, past medical history, blood tests, diagnoses and procedures, daily interventions, discharge and 30 day survival.",,DataModel,False,,True,,,National Clinical Audit and Patient Outcomes Programme (NCAPOP),0217114b-6847-4aae-9d76-4d52acea2bcc,PICANet - Core dataset (admission),2020-01-13T14:15:34Z,GB-GBN,"Audit, PICANet, Paediatric, Core, Admission, PICU",Paediatric Intensive Care Audit Network - core dataset (admission),en,,0217114b-6847-4aae-9d76-4d52acea2bcc,,,,,2020-04-27T09:23:06Z,,,,,4ca76471-6970-4ad4-87c7-fae77a98cbf5,,ALLIANCE > HQIP,,,Paediatric Intensive Care Audit Network - core dataset (admission),Data Asset,https://raw.githubusercontent.com/HDRUK/schemata/master/schema/dataset/1.1.7/dataset.schema.json,2.0.0
af5caf3f-a8f7-4365-af6e-8d9a59711ad1,,,,,3e8de4f3-ee1e-4898-a945-0487586c6767,,,,,,,,,,022cedb4-650d-4566-be41-8d7ed07a5112,,,,,,,,Details of completed (processed) COVID-19 antigen tests booked through the NHS-Digital portals,http://www.hscbusiness.hscni.net/pdf/Researcher%20Pack.zip,1-2 MONTHS,http://www.hscbusiness.hscni.net/services/2454.htm,0-104,,,,,hbs@hscni.net,,"ACKNOWLEDGMENT

The authors would like to acknowledge the help provided by the staff of the Honest Broker Service (HBS) within the Business Services Organisation Northern Ireland (BSO). The HBS is funded by the BSO and the Department of Health (DoH). The authors alone are responsible for the interpretation of the data and any views or opinions presented are solely those of the author and do not necessarily represent those of the BSO.",1,Public Health Agency (PHA) NI,56,HSC Honest Broker Service,Char,,,Not known,Country derived from location of the Test Centre,,DataModel,False,,True,text/csv,Northern Ireland,,43274fc0-f6de-4f81-8253-f064b0a15009,CV2,2020-10-28T15:45:01Z,GB-NIR,"Northern Ireland,COVID-19,Antigen,Pillar 2,NCS,Occupation",COVID antigen  testing - Pillar 2,en,,022cedb4-650d-4566-be41-8d7ed07a5112,,This cannot currently be linked to other NI datasets,,,2021-01-21T14:49:57Z,TestCentreCountry,,IRREGULAR,NOT AVAILABLE,c8f2ee14-2831-445d-a207-2f7f932f4735,,ALLIANCE > HEALTH AND SOCIAL CARE NORTHERN IRELAND,,,COVID antigen  testing - Pillar 2,Data Asset,https://raw.githubusercontent.com/HDRUK/schemata/master/schema/dataset/1.1.7/dataset.schema.json,2.0.0
2183095a-387c-4ac0-b5ea-b7928df55fc2,,,,,3c8cc88b-8857-4053-be37-b75916a1358d,,,,,,,,,,2b8f27fd-d03a-472c-954f-90bd7bc36cc4,0266f904-b168-488a-a9e7-d318443584ef,,,,,,,"CPRD Aurum linked Hospital Episode Statistics Diagnostic Imaging Dataset (HES DID) data contain information about NHS diagnostic imaging tests, such as x-rays and MRI scans, in England (but not the images themselves).",https://cprd.com/linked-data,https://cprd.com/Data-access,"Access to patient level data is dependent on approval of a study protocol by the Independent Scientific Advisory Committee (ISAC). All required linked data sources must be requested on the application form. Additionally, researchers who are first time users of a linked dataset must contact the CPRD Observational Research Team to discuss their requirements before submitting their application. Data are only provided by CPRD when part of a data extract is linked to CPRD Aurum.

https://www.cprd.com/linked-data",ALL,,,,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-sets/diagnostic-imaging-data-set https://www.datadictionary.nhs.uk/data_dictionary/messages/clinical_data_sets/data_sets/diagnostic_imaging_data_set_fr.asp?shownav=1,enquiries@cprd.com ,,NHS Digital,3,CPRD,5,CPRD,INTEGER,,2007-04-01,,Encrypted unique key given to a practice in CPRD GOLD or CPRD Aurum,,DataModel,False,,True,,England,CPRD Aurum,5221abeb-2f55-4af3-a77b-2806cd2ba5ea,CPRDAurumxHESDID,2020-01-10T18:12:19Z,GB-ENG,"DIDs, Diagnostic, Imaging,",HES Diagnostic Imaging Dataset for CPRD Aurum,en,,0266f904-b168-488a-a9e7-d318443584ef,https://cprd.com/Data-access,,,,2020-04-27T13:32:30Z,pracid,,Quarterly,,617f9f54-3fb6-40c3-b391-fe51d1fc7c49,England,ALLIANCE > CPRD,,,HES Diagnostic Imaging Dataset for CPRD Aurum,Data Asset,https://raw.githubusercontent.com/HDRUK/schemata/master/schema/dataset/1.1.7/dataset.schema.json,3.0.0
3d52da95-a310-4982-b9ba-ff5c69e77ac0,,,,,6343ec82-2c73-4269-b2dc-0f5358c618d5,,,,,,,,,,be170751-3ab2-4cb6-a59f-d5d5867e0bfd,117aa9f5-db76-48f9-9dd2-19e2d00a1b45,02dceba1-65c7-49e8-a3e2-05e71c1a3033,,,,,,"The data mart links data from (NHS 24, Scottish Ambulance Service, Out of Hours Primary Care, Emergency Department, Acute, Mental Health and Deaths) to show a Continuous Unscheduled Care Pathway (CUP) for records with a valid CHI number.",Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/FAQ-eDRIS/index.asp#a4 ; Information Request Service - https://www.isdscotland.org/About-ISD/Information-Requests/,VARIABLE,https://www.informationgovernance.scot.nhs.uk/pbpphsc/https://www.isdscotland.org/About-ISD/Information-Requests/https://www.isdscotland.org/Products-and-Services/eDRIS/,0-150,,,,NHS SCOTLAND DATA DICTIONARY,phs.edris@phs.scot,"NHS SCOTLAND NATIONAL CODES,ICD10","Public Health Scotland; National Services Scotland; Scottish Ambulance Service; NHS24, GP OOH",2,Public Health Scotland / National Records Scotland / Scottish Ambulance Service / NHS 24,61,National Services Scotland,DateTime,,2011-01-01,,Indicates if the call was associated with barbiturate abuse.,,DataModel,False,,True,text/csv,https://www.geonames.org/2638360/scotland.html,Unscheduled Care,3237bd59-6a50-4a90-9239-c8abcb52445c,Unscheduled Care Datamart,2020-01-10T22:06:54Z,GB,"Unscheduled Care,NHS Scotland,Ambulance,Out of Hours,A&E,NCS",Unscheduled Care Datamart,en,,02dceba1-65c7-49e8-a3e2-05e71c1a3033,https://www.informationgovernance.scot.nhs.uk/pbpphsc/home/for-applicants/,,,,2021-01-27T14:34:55Z,Barbiturate,,OTHER,NOT AVAILABLE,a265af2e-40fc-4759-af61-eab293cdad5a,All patients accessing unscheduled care services.,ALLIANCE > PUBLIC HEALTH SCOTLAND,2020-09-01T00:00:00Z,1400000,Unscheduled Care Datamart,Data Asset,https://raw.githubusercontent.com/HDRUK/schemata/master/schema/dataset/1.1.7/dataset.schema.json,4.0.0
6b8f7aee-8a94-498f-889f-407c922fa91a,,,,,b9c2aa7d-3e15-40aa-83a1-f2226bc6c311,,,,,,,,,,a1f9315e-8561-4e7b-b1a7-1276bdeca14d,0315886c-f34a-4f1d-8f76-2dfa80a6e949,,,,,,,Collection of samples and data across the following diseases: Carcinoma in situ of prostate,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,Please contact the publisher using Contact Point details provided,40-150,,,Not Available,,anne.george@addenbrookes.nhs.uk,,In Progress,0,University of Cambridge,,Not Applicable,,,2003-01-01,Not Available,"The primary role of the CamUro-Onc is to consent, collect, log and store frozen tumour/normal tissues, blood and urine for use in approved research projects. The bank has been in operation since 2003 and now has an extensive collection of biosamples from urological diseases.
Type of samples collected;
-	Fresh frozen and paraffin wax embedded tumour/normal tissue (where possible) from kidney, bladder and prostate.
-	Matching blood and urine samples.
-	Blood and urine samples collected as part of several research projects.
These samples have been collected as part of various ethically approved research studies.
The CamUro-Oncology Biobank is part of the Cambridge site of the ProMPT NCRI Prostate Cancer Collaborative. ProMPT provides infrastructure to take forward translational research in prostate cancer including the establishment of biorepositories and tissue collections together with epidemiological and clinical information. 
DIAMOND Study-(Discovery and Analysis of novel biomarkers in Urological diseases)- Collection of initial and sequential samples from subjects with benign and cancerous urological diseases.",Not Available,DataModel,False,In Progress,True,In Progress,England,UKCRC Tissue Directory and Coordination Centre,0315886c-f34a-4f1d-8f76-2dfa80a6e949,GBR-1-39,2020-01-13T17:04:32Z,GB-ENG,"UKCRC Tissue Directory,BioBank,Cam-UroOnc Biorepository,Carcinoma in situ of prostate",Cam-UroOnc Biorepository,en,,0315886c-f34a-4f1d-8f76-2dfa80a6e949,Please contact the publisher using Contact Point details provided,Not Available,,,2021-02-21T15:55:54Z,,,IN PROGRESS,"DNA,PLASMA,SERUM,TISSUE",21044030-1cd5-46b1-b072-c9959fd330b4,Biobank samples and data,ALLIANCE > TISSUE DIRECTORY,,,Cam-UroOnc Biorepository,Data Asset,https://raw.githubusercontent.com/HDRUK/schemata/master/schema/dataset/1.1.7/dataset.schema.json,3.0.0
a0d48d4f-fd8d-4567-9761-bf7590f6f81e,,,,,0c2c9d11-4a84-4510-9512-ebff4cd5c5a2,,,,,,,,,,b119f548-4059-4f7b-9897-4a9b397f23b9,f3ade619-292e-4631-916a-9cd9d7938e48,039c0b29-63f6-4ce9-8d89-87012a52e44f,,,,,,"LCC is a primary care observational cohort of chronic kidney disease. GP practices are based in Leicestershire based clinical commissioning groups. Data is linked to local secondary care outcomes for cardiovascular, endstage renal disease and mortality.",,OTHER,In Progress,,,,,,rwlm2@le.ac.uk,,,0,,,,,,,,"LCC is a primary care observational cohort of chronic kidney disease. GP practices are based in the 3 Leicestershire based clinical commissioning groups. Data is linked to local secondary care outcomes for cardiovascular, endstage renal disease (dialysis or kidney transplantation) and mortality. Number of GP practices = 38, Number of anonymised patient records approximately 17,000.",,DataModel,False,,True,,,Renal,039c0b29-63f6-4ce9-8d89-87012a52e44f,LCC,2020-01-13T14:58:45Z,GB-ENG,"LCC,Renal,GP,Primary,Mortality,Kidney,Outcomes,Cardiovascular,Chronic",The Leicester City and County Chronic Kidney Disease Cohort,en,,039c0b29-63f6-4ce9-8d89-87012a52e44f,,,,,2021-02-21T16:21:11Z,,,,,4dfec37d-dd24-465f-85ea-30209aff3a26,,ALLIANCE > UNIVERSITY HOSPITALS OF LEICESTER,,,The Leicester City and County Chronic Kidney Disease Cohort,Data Asset,https://raw.githubusercontent.com/HDRUK/schemata/master/schema/dataset/1.1.7/dataset.schema.json,4.0.0
