pid,id,publisher,title,"A: Summary, identifier","A: Summary, title","A: Summary, abstract","A: Summary, publisher","A: Summary, contactPoint","A: Summary, accessRights","A: Summary, group","A: Summary, filled_attributes","A: Summary, total_attributes","B: Business, description","B: Business, releaseDate","B: Business, accessRequestCost","B: Business, accessRequestDuration","B: Business, dataController","B: Business, dataProcessor","B: Business, license","B: Business, usageRestriction","B: Business, derivedDatasets","B: Business, linkedDataset","B: Business, filled_attributes","B: Business, total_attributes","C: Coverage & Detail, geographicCoverage","C: Coverage & Detail, periodicity","C: Coverage & Detail, datasetEndDate","C: Coverage & Detail, datasetStartDate","C: Coverage & Detail, jurisdiction","C: Coverage & Detail, populationType","C: Coverage & Detail, statisticalPopulation","C: Coverage & Detail, ageBand","C: Coverage & Detail, physicalSampleAvailability","C: Coverage & Detail, keywords","C: Coverage & Detail, filled_attributes","C: Coverage & Detail, total_attributes","D: Format & Structure, conformsTo","D: Format & Structure, controlledVocabulary","D: Format & Structure, language","D: Format & Structure, format","D: Format & Structure, fileSize","D: Format & Structure, filled_attributes","D: Format & Structure, total_attributes","E: Attribution, creator","E: Attribution, citations","E: Attribution, doi","E: Attribution, filled_attributes","E: Attribution, total_attributes","F: Technical Metadata, dataClassesCount","F: Technical Metadata, tableName","F: Technical Metadata, tableDescription","F: Technical Metadata, columnName","F: Technical Metadata, columnDescription","F: Technical Metadata, dataType","F: Technical Metadata, sensitive","F: Technical Metadata, filled_attributes","F: Technical Metadata, total_attributes",filled_attributes,total_attributes
11dee486-22d2-4cf4-a955-512249e61645,0056a5c8-4f98-4e9e-b74a-bd498be71c0d,,KPIC,0,1,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,7,2,42
602cbc9b-0113-4712-8c4a-0efe8d86b77c,00a784aa-ea3a-4a57-9612-81b0745e0763,,SARS-CoV-2 viral sequencing data (COG-UK data) - Lineage/Variant Data - Wales,0,1,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,3,1,1,1,1,1,1,0,6,7,8,42
24de9d1a-1f48-4c10-b8fc-a3bd7449e191,00e1b694-3072-4d25-ab2d-a1de59629ae3,,Mental Health Inpatient and Day Case - Scottish Morbidity Record (SMR04),0,1,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,3,1,1,1,1,1,1,0,6,7,8,42
b0979e07-3331-408f-853b-5eeba80ce8f9,00ffee70-43d6-4a81-8568-32b0b6d9e39c,ALLIANCE > HQIP,National Paediatric Diabetes Audit - Parent and Patient Recorded Experience measures,1,1,1,1,1,1,1,7,7,1,1,1,1,0,0,0,0,0,0,4,10,1,1,1,1,1,0,0,1,1,1,8,10,0,0,1,1,0,2,5,0,0,0,0,3,0,0,0,0,0,0,0,0,7,21,42
19fa25a7-c15d-441c-b635-ad49043e7a96,0121c132-5be6-414e-853b-885ff301854f,ALLIANCE > TISSUE DIRECTORY,PTCL Biobank,1,1,1,1,1,1,1,7,7,1,0,1,1,1,1,1,0,1,1,8,10,1,1,0,1,1,1,0,1,1,1,8,10,0,0,1,1,1,3,5,1,1,1,3,3,0,0,0,0,0,0,0,0,7,29,42
399a6d67-7577-4476-a3b6-4bbceb5a8ff7,01470238-7a17-47a5-a131-17178ba26a0a,ALLIANCE > TISSUE DIRECTORY,Human Developmental Biology Resource (HDBR),1,1,1,1,1,1,1,7,7,1,0,1,1,1,1,1,0,1,1,8,10,1,1,0,1,1,1,0,1,1,1,8,10,0,0,1,1,1,3,5,1,1,1,3,3,0,0,0,0,0,0,0,0,7,29,42
ea1aca1f-6ddb-44a0-b530-0645a26b2bee,01a5c44c-c2fd-4c1e-856e-9875ee1beafa,,BathTAP Switching Cohort 2,0,1,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,3,1,1,1,1,1,1,0,6,7,8,42
21044030-1cd5-46b1-b072-c9959fd330b4,0315886c-f34a-4f1d-8f76-2dfa80a6e949,ALLIANCE > TISSUE DIRECTORY,Cam-UroOnc Biorepository,1,1,1,1,1,1,1,7,7,1,0,1,1,1,1,1,0,1,1,8,10,1,1,0,1,1,1,0,1,1,1,8,10,0,0,1,1,1,3,5,1,1,1,3,3,0,0,0,0,0,0,0,0,7,29,42
4dfec37d-dd24-465f-85ea-30209aff3a26,039c0b29-63f6-4ce9-8d89-87012a52e44f,ALLIANCE > UNIVERSITY HOSPITALS OF LEICESTER,The Leicester City and County Chronic Kidney Disease Cohort,1,1,1,1,1,1,1,7,7,1,0,0,1,0,0,0,0,0,0,2,10,0,0,0,0,1,0,0,0,0,1,2,10,0,0,1,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,7,12,42
2f1244b8-7cbf-4fa3-8534-433efd769d48,03abf37c-41b2-4ff3-9c09-2cfea438526a,HUB > BREATHE,"4 Country ChrOnic: estimating respiratory disease burden in adults, South India",1,1,1,1,1,1,1,7,7,1,0,0,1,1,1,1,0,1,1,7,10,1,0,1,1,1,1,0,1,1,1,8,10,1,1,1,0,0,3,5,1,0,0,1,3,0,0,0,0,0,0,0,0,7,26,42
