Section	Attribute	Weighting
A: Summary	identifier	0.01754386
A: Summary	title	0.01754386
A: Summary	abstract	0.01754386
A: Summary	publisher	0.01754386
A: Summary	contactPoint	0.035087719
A: Summary	accessRights	0.035087719
A: Summary	group	0.01754386
B: Business	description	0.035087719
B: Business	releaseDate	0.035087719
B: Business	accessRequestCost	0.035087719
B: Business	accessRequestDuration	0.01754386
B: Business	dataController	0.01754386
B: Business	dataProcessor	0.01754386
B: Business	license	0.01754386
B: Business	derivedDatasets	0.01754386
B: Business	linkedDataset	0.01754386
C: Coverage & Detail	geographicCoverage	0.01754386
C: Coverage & Detail	periodicity	0.035087719
C: Coverage & Detail	datasetEndDate	0.035087719
C: Coverage & Detail	datasetStartDate	0.035087719
C: Coverage & Detail	jurisdiction	0.01754386
C: Coverage & Detail	populationType	0.01754386
C: Coverage & Detail	statisticalPopulation	0.052631579
C: Coverage & Detail	ageBand	0.01754386
C: Coverage & Detail	physicalSampleAvailability	0.01754386
C: Coverage & Detail	keywords	0.01754386
D: Format & Structure	conformsTo	0.01754386
D: Format & Structure	controlledVocabulary	0.01754386
D: Format & Structure	language	0.01754386
D: Format & Structure	format	0.01754386
D: Format & Structure	fileSize	0.01754386
E: Attribution	creator	0.01754386
E: Attribution	citations	0.01754386
E: Attribution	doi	0.01754386
F: Technical Metadata	dataClassesCount	0.035087719
F: Technical Metadata	tableName	0.035087719
F: Technical Metadata	tableDescription	0.035087719
F: Technical Metadata	columnName	0.035087719
F: Technical Metadata	columnDescription	0.035087719
F: Technical Metadata	dataType	0.035087719
F: Technical Metadata	sensitive	0.01754386
G: Other Metadata	usageRestrictions	0
G: Other Metadata	purpose	0
G: Other Metadata	source	0
G: Other Metadata	setting	0
G: Other Metadata	accessEnvironment	0
G: Other Metadata	linkageOpportunity	0
G: Other Metadata	disambiguatingDescription	0
